,smart_1_raw,smart_2_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_8_raw,smart_9_raw,smart_10_raw,smart_11_raw,smart_12_raw,smart_13_raw,smart_15_raw,smart_16_raw,smart_17_raw,smart_18_raw,smart_22_raw,smart_23_raw,smart_24_raw,smart_168_raw,smart_170_raw,smart_173_raw,smart_174_raw,smart_175_raw,smart_177_raw,smart_179_raw,smart_180_raw,smart_181_raw,smart_182_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_196_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_200_raw,smart_201_raw,smart_202_raw,smart_206_raw,smart_210_raw,smart_218_raw,smart_220_raw,smart_222_raw,smart_223_raw,smart_224_raw,smart_225_raw,smart_226_raw,smart_231_raw,smart_232_raw,smart_233_raw,smart_234_raw,smart_235_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_245_raw,smart_247_raw,smart_248_raw,smart_250_raw,smart_251_raw,smart_252_raw,smart_254_raw,smart_255_raw,smart_27_raw,smart_71_raw,smart_82_raw,smart_90_raw,smart_160_raw,smart_161_raw,smart_163_raw,smart_164_raw,smart_165_raw,smart_166_raw,smart_167_raw,smart_169_raw,smart_171_raw,smart_172_raw,smart_176_raw,smart_178_raw,smart_230_raw,smart_244_raw,smart_246_raw,smart_211_raw,smart_212_raw,failure
1553,114537408.0,,0.0,17.0,0.0,316207712.0,,44872.0,0.0,,17.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,34.0,,447.0,2320.0,34.0,114537408.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,44442.0,132964705848.0,737024451106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1554,157685080.0,,0.0,5.0,0.0,501011386.0,,37865.0,0.0,,5.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,23.0,,0.0,2030.0,23.0,157685080.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,37596.0,95769158472.0,461032620693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1555,23522672.0,,0.0,13.0,0.0,826893281.0,,18947.0,0.0,,13.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,28.0,,6.0,1180.0,28.0,23522672.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,18762.0,86681690280.0,280286048530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1556,9058728.0,,0.0,6.0,0.0,973903213.0,,26071.0,0.0,,6.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,28.0,,2.0,1336.0,28.0,9058728.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,25888.0,95617893792.0,442966537532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1557,126376728.0,,0.0,9.0,0.0,297664375.0,,29639.0,0.0,,9.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,46.0,,264.0,1920.0,46.0,126376728.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,29321.0,101188546768.0,454847868415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1558,12155480.0,,0.0,4.0,0.0,763637186.0,,25435.0,0.0,,4.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,28.0,,3.0,1422.0,28.0,12155480.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,25203.0,95059704528.0,381271437560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1559,74834856.0,,0.0,10.0,0.0,308838895.0,,26728.0,0.0,,9.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,32.0,,1.0,2632.0,32.0,74834856.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,26235.0,93921995192.0,600001831544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1560,64261168.0,,0.0,7.0,0.0,160020425.0,,9044.0,0.0,,7.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,27.0,,3.0,9369.0,27.0,64261168.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7417.0,54627728744.0,153932950026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1561,37527160.0,,0.0,7.0,0.0,385851486.0,,5686.0,0.0,,7.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,25.0,,2.0,382.0,25.0,37527160.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5447.0,23568572608.0,60701427961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1562,55579968.0,,0.0,3.0,0.0,112777121.0,,1870.0,0.0,,4.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,4295032833.0,,27.0,,2.0,185.0,27.0,55579968.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1815.0,23461360160.0,36412606205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1563,36867656.0,,0.0,3.0,0.0,163640304.0,,3336.0,0.0,,3.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,30.0,,1.0,205.0,30.0,36867656.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3295.0,23485018304.0,51505897381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1564,151347272.0,,0.0,3.0,0.0,865488284.0,,6382.0,0.0,,3.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,33.0,,2.0,1374.0,33.0,151347272.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6121.0,50717680544.0,100801232470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1565,174410504.0,,0.0,5.0,0.0,826862489.0,,46272.0,0.0,,5.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,36.0,,1.0,2244.0,36.0,174410504.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,45982.0,137961535208.0,518466280719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1566,78669272.0,,0.0,17.0,0.0,108389660.0,,50980.0,0.0,,17.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,20.0,,3.0,12044.0,20.0,78669272.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,49065.0,139332944440.0,662016578048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1567,168045896.0,,0.0,244.0,24.0,949708493.0,,25034.0,0.0,,22.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,31.0,,1.0,1254.0,31.0,168045896.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,24417.0,70886307487.0,392126295702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1568,227882192.0,,0.0,18.0,0.0,897084481.0,,44820.0,0.0,,18.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,42.0,,7.0,2209.0,42.0,227882192.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,44549.0,136499307000.0,454309321129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569,183695728.0,,0.0,9.0,0.0,506918545.0,,45568.0,0.0,,9.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,43.0,,3.0,2801.0,43.0,183695728.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,44976.0,114642205552.0,542771545249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1570,110398944.0,,0.0,8.0,0.0,193950209.0,,38072.0,0.0,,8.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,31.0,,400.0,1728.0,31.0,110398944.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,37866.0,116036519128.0,425578649246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1571,205963880.0,,0.0,14.0,0.0,418735461.0,,35112.0,0.0,,14.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,37.0,,2.0,2824.0,37.0,205963880.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,34679.0,112365536440.0,812646732548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1572,66184728.0,,0.0,12.0,0.0,891287659.0,,38496.0,0.0,,11.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,30.0,,41.0,1714.0,30.0,66184728.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,38289.0,114450004088.0,518673289776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
